Item,Part Changed,Options,Part1,Part2
2de4  Bed,The Wood Grain Color,Beige,4,0
,,Dark brown,8,0
,The Fabric,Square,0,1
,,Rain,0,2
,,Wave,0,3
,,Leaf,0,4
,,Mechanical,0,5
,,Modern,0,6
,,Tree,0,7
,,Clothes,0,8
2de5  Sofa,The Wood Grain Color,Beige,4,0
,,Dark brown,8,0
,The Fabric,Square,0,1
,,Rain,0,2
,,Wave,0,3
,,Leaf,0,4
,,Mechanical,0,5
,,Modern,0,6
,,Tree,0,7
,,Clothes,0,8
2de6  Chair,The Wood Grain Color,Beige,4,0
,,Dark brown,8,0
,The Fabric,Square,0,1
,,Rain,0,2
,,Wave,0,3
,,Leaf,0,4
,,Mechanical,0,5
,,Modern,0,6
,,Tree,0,7
,,Clothes,0,8
2de7  Dresser,The Wood Grain Color,Beige,4,0
,,Dark brown,8,0
,The Fabric,Square,0,1
,,Rain,0,2
,,Wave,0,3
,,Leaf,0,4
,,Mechanical,0,5
,,Modern,0,6
,,Tree,0,7
,,Clothes,0,8
2de8  Closet,The Wood Grain Color,Beige,4,0
,,Dark brown,8,0
,The Fabric,Square,0,1
,,Rain,0,2
,,Wave,0,3
,,Leaf,0,4
,,Mechanical,0,5
,,Modern,0,6
,,Tree,0,7
,,Clothes,0,8
2de9  Lamp,The Wood Grain Color,Beige,4,0
,,Dark brown,8,0
,The Fabric,Square,0,1
,,Rain,0,2
,,Wave,0,3
,,Leaf,0,4
,,Mechanical,0,5
,,Modern,0,6
,,Tree,0,7
,,Clothes,0,8
2dea  Panel,The Fabric,Square,0,1
,,Rain,0,2
,,Wave,0,3
,,Leaf,0,4
,,Mechanical,0,5
,,Modern,0,6
,,Tree,0,7
,,Clothes,0,8
2deb  Shelf,The Wood Grain Color,Beige,4,0
,,Dark brown,8,0
,The Fabric,Square,0,1
,,Rain,0,2
,,Wave,0,3
,,Leaf,0,4
,,Mechanical,0,5
,,Modern,0,6
,,Tree,0,7
,,Clothes,0,8
2dec Large Table,The Wood Grain Color,Beige,4,0
,,Dark brown,8,0
,The Fabric,Square,0,1
,,Rain,0,2
,,Wave,0,3
,,Leaf,0,4
,,Mechanical,0,5
,,Modern,0,6
,,Tree,0,7
,,Clothes,0,8
2ded  Low Table,The Wood Grain Color,Beige,4,0
,,Dark brown,8,0
,The Fabric,Square,0,1
,,Rain,0,2
,,Wave,0,3
,,Leaf,0,4
,,Mechanical,0,5
,,Modern,0,6
,,Tree,0,7
,,Clothes,0,8
2dee  Kitchen Cart,The Wood Grain Color,Beige,4,0
,,Dark brown,8,0
,The Fabric,Square,0,1
,,Rain,0,2
,,Wave,0,3
,,Leaf,0,4
,,Mechanical,0,5
,,Modern,0,6
,,Tree,0,7
,,Clothes,0,8
2def  CD Player,The Body Color,Blue and black,4,0
,,Black and red,8,0
2df0  Bed,The Body Color,Blue and black,4,0
,,Black and red,8,0
2df1  Sofa,The Body Color,Blue and black,4,0
,,Black and red,8,0
2df2  Chair,The Body Color,Blue and black,4,0
,,Black and red,8,0
2df3  Dresser,The Body Color,Blue and black,4,0
,,Black and red,8,0
2df4  Closet,The Body Color,Blue and black,4,0
,,Black and red,8,0
2df5  Clock,The Body Color,Blue and black,4,0
,,Black and red,8,0
2df6  Table,The Body Color,Blue and black,4,0
,,Black and red,8,0
2df7  TV,The Body Color,Blue and black,4,0
,,Black and red,8,0
2df8  Shelf,The Body Color,Blue and black,4,0
,,Black and red,8,0
2df9  Lamp,The Body Color,Blue and black,4,0
,,Black and red,8,0
2dfa  Tower,The Card Back Color,Black,4,0
2dfb  Bed,The Card Back Color,Black,4,0
2dfc  Sofa,The Card Back Color,Black,4,0
2dfd  Chair,The Card Back Color,Black,4,0
2dfe  Dresser,The Card Back Color,Black,4,0
2dff  Closet,The Card Back Color,Black,4,0
2e00  Wall Clock,The Card Back Color,Black,4,0
2e01  Lamp,The Card Back Color,Black,4,0
2e02  Screen,The Card Back Color,Black,4,0
2e03  Shelf,The Card Back Color,Black,4,0
2e04  Table,The Card Back Color,Black,4,0
2e05  Dresser,The Stripes Color,Orange Stripe,4,0
,,Green Stripe,8,0
,,Pink Stripe,0c,0
,,Yellow Stripe,10,0
,,Gray Stripe,14,0
2e06  Lamp,The Body Color,Orange Stripe,4,0
,,Green Stripe,8,0
,,Pink Stripe,0c,0
,,Yellow Stripe,10,0
,,Gray Stripe,14,0
,The Lamp Shade,Orange Stripe,0,1
,,Green Stripe,0,2
,,Pink Stripe,0,3
,,Yellow Stripe,0,4
,,Gray Stripe,0,5
,,Clothes,0,8
2e07  Closet,The Body Color,Orange Stripe,4,0
,,Green Stripe,8,0
,,Pink Stripe,0c,0
,,Yellow Stripe,10,0
,,Gray Stripe,14,0
2e08  TV,The Body Color,Orange Stripe,4,0
,,Green Stripe,8,0
,,Pink Stripe,0c,0
,,Yellow Stripe,10,0
,,Gray Stripe,14,0
2e09  Table,The Body Color,Orange Stripe,4,0
,,Green Stripe,8,0
,,Pink Stripe,0c,0
,,Yellow Stripe,10,0
,,Gray Stripe,14,0
2e0a  Sofa,The Body Color,Orange Stripe,4,0
,,Green Stripe,8,0
,,Pink Stripe,0c,0
,,Yellow Stripe,10,0
,,Gray Stripe,14,0
2e0b  Shelf,The Body Color,Orange Stripe,4,0
,,Green Stripe,8,0
,,Pink Stripe,0c,0
,,Yellow Stripe,10,0
,,Gray Stripe,14,0
2e0c  Clock,The Body Color,Orange Stripe,4,0
,,Green Stripe,8,0
,,Pink Stripe,0c,0
,,Yellow Stripe,10,0
,,Gray Stripe,14,0
2e0d  Bed,The Body Color,Orange Stripe,4,0
,,Green Stripe,8,0
,,Pink Stripe,0c,0
,,Yellow Stripe,10,0
,,Gray Stripe,14,0
,The Comfortor,Orange Stripe,0,1
,,Green Stripe,0,2
,,Pink Stripe,0,3
,,Yellow Stripe,0,4
,,Gray Stripe,0,5
,,Clothes,0,8
2e0e  Bathroom Sink,The Body Color,Orange Stripe,4,0
,,Green Stripe,8,0
,,Pink Stripe,0c,0
,,Yellow Stripe,10,0
,,Gray Stripe,14,0
2e0f  Chair,The Body Color,Orange Stripe,4,0
,,Green Stripe,8,0
,,Pink Stripe,0c,0
,,Yellow Stripe,10,0
,,Gray Stripe,14,0
2e10  Bed,Pink Comforter,,0,1
2e11  Sofa,Pink T Shirt,,0,1
2e13  Chair,Pink Scarf,,0,1
2e14  Table,Pink Tablecloth,,0,1
2e15  Closet,Pink Scarf,,0,1
2e17  Lamp,Pink Shade,,0,1
2e1a  Dresser,Pink T Shirt,,0,1
2e81  Chair,The Cloth,Green,4,0
,,Beige,8,0
,,Red,0c,0
,,Warm color,10,0
,,British,14,0
2e82  Dresser,The Cloth,Green,4,0
,,Beige,8,0
,,Red,0c,0
,,Warm color,10,0
,,British,14,0
2e83  Lamp,The Cloth,Green,4,0
,,Beige,8,0
,,Red,0c,0
,,Warm color,10,0
,,British,14,0
2e84  Table,The Cloth,Green,4,0
,,Beige,8,0
,,Red,0c,0
,,Warm color,10,0
,,British,14,0
2e85  Sofa,The Cloth,Green,4,0
,,Beige,8,0
,,Red,0c,0
,,Warm color,10,0
,,British,14,0
2e91  Dog Lamp,The Balloon Color,Blue,4,0
,,Yellow,8,0
,,Green,0c,0
,,Pink,10,0
,,Gray,14,0
2b18 Wet Road Sign,The Sign Type,Road narrows,4,0
,,Construction site,8,0
,,Deer crossing,0c,0
,,Kangaroo crossing,10,0
,,Squirrel crossing,14,0
,,Beware of bear,18,0
,,Beware of boar,1c,0
2b1d Oil Barrel,The Oil Barrel color,Red,4,0
,,Danger,8,0
,,Brown,0c,0
,,Yellow,10,0
,,Blue,14,0
2b23 Boxing Mat,The Color,White,4,0
,,Green,8,0
2b24 Ringside Table,The Table Color,Dark brown,4,0
2b2b Garden Gnome,The Gnome Color,Purple Hat,4,0
,,Yellow hat,8,0
,,Blue hat,0c,0
,,Orange hat,10,0
,,Dark Red hat,14,0
,,Green hat,18,0
2b2d Hammock,The Cloth,Aqua,4,0
,,Pink,8,0
,,Yellow,0c,0
,The Pillow,Aqua,0,1
,,Pink,0,2
,,Yellow,0,3
,,Clothes,0,8
2b2f Picnic Table,The Napkin,Blue gingham,4,0
,,Green gingham,8,0
,,Bown gingham,0c,0
,,Clothes,0,8
2b31 Lawn Chair,The Vinyl Color,Pink,0,4
,,Orange,0,8
2b38 Stroller,The Stroller Color,Pink,4,0
2b39 Cradle,The Cradle Color,Blue,4,0
2b3f Wobbelina,The Body Color,Blue,4,0
2b40 Dolly,The Clothes Color,Blue,4,0
,,Green,8,0
,,Purple,0c,0
,,Black,10,0
,,Yellow,14,0
2b56 Pawn,The Piece Color,Gold Nugget,20,0
,,White,4,0
,,Black,8,0
2b57 Bishop,The Piece Color,Gold Nugget,20,0
,,White,4,0
,,Black,8,0
2b58 King,The Piece Color,Gold Nugget,20,0
,,White,4,0
,,Black,8,0
2b59 Knight,The Piece Color,Gold Nugget,20,0
,,White,4,0
,,Black,8,0
2b5a Queen,The Piece Color,Gold Nugget,20,0
,,White,4,0
,,Black,8,0
2b5b Rook,The Piece Color,Gold Nugget,20,0
,,White,4,0
,,Black,8,0
2b64 Chalkboard,The Chalk Writing,Math,4,0
,,Tic Tac Toe,8,0
,,Music,0c,0
2b6c Ball Catcher,The Ball,Lined tricolor ball,4,0
,,Colorful tricolor ball,8,0
,,Colorful bicolor ball,0c,0
2b70 Folding Chair,The Chair Color,Green,4,0
,,Brown,8,0
,,Gray,0c,0
2b7a Writing Chair,The Seat Material,Pink plaid,0,1
,,Blue Plaid,0,2
,,Strawberry,0,3
,,Rocket,0,4
,,Clothes,0,8
2b84 Giant Dharma,The Body Color,Gold Nugget,20,0
,,White,4,0
,,Blue,8,0
2b85 Dharma,The Body Color,Gold Nugget,20,0
,,White,4,0
,,Blue,8,0
2b86 Mini Dharma,The Body Color,Gold Nugget,20,0
,,White,4,0
,,Blue,8,0
2b87 Papa Bear,The Cloth,Pink Marble,4,0
,,Red Tartan,8,0
,,Blue Stripe,0c,0
,,Flower Print,10,0
,,Leopard,14,0
2b88 Mama Bear,The Cloth,Blue Marble,4,0
,,Blue Tartan,8,0
,,Purple Stripe,0c,0
,,Flower Print,10,0
,,Silver Leopard,14,0
2b89 Baby Bear,The Cloth,Violet Marble,4,0
,,Yellow Tartan,8,0
,,Stripe,0c,0
,,Flower Print,10,0
,,Pink Leopard,14,0
2b8a Mama Polar Bear,The Shirt,Pink Striped,0,1
,,Collared Shirt,0,2
,,Fluffy Jacket,0,3
,,Blue Gingham Plaid,0,4
,,Clothes,0,8
2b91 Golf Bag,The Bag Color,Green,4,0
,,Red,8,0
,,Black,0c,0
2b92 Simple Armchair,The Sofa Color,Blue,4,0
,,Yellow,8,0
,,Green,0c,0
,,Purple,10,0
,,Orange,14,0
2b93 Simple Love Seat,The Sofa Color,Blue,4,0
,,Yellow,8,0
,,Green,0c,0
,,Purple,10,0
,,Orange,14,0
2b98 Lava Lamp,The Light Color,Blue,4,0
,,Yellow,8,0
,,Green,0c,0
,,Purple,10,0
,,Orange,14,0
2b9f Paper Wall Lamp,The Design,Full Moon,0,1
,,Bamboo,0,2
,,Cherry Tree,0,3
,,Clothes,0,8
2bae Bath Mat,The Style,Green,4,0
,,Blue,8,0
2bb0 Bathtub,The Material,Cedar,4,0
,,Marble,8,0
2bbd Tangerine Chair,The Type of Fruit,Lime,4,0
,,Lemon,8,0
,,Blood Orange,0c,0
,,Citrus,10,0
,,Pink Grapefruit,14,0
2bbe Kiwi Stool,The Kiwi Color,Gold,4,0
2bc1 Watermelon Chair,The Melon Color,Yellow Watermelon,4,0
,,Seedless Watermelon,8,0
2bc2 Watermelon Table,The Melon Color,Yellow Watermelon,4,0
,,Seedless Watermelon,8,0
2bc3 Juicy Apple TV,The Apple Color,Gold Nugget,20,0
,,Silver Nugget,24,0
,,Ruby,28,0
,,Emerald,30,0
,,Green Apple,4,0
2bc4 Juicy Apple Clock,The Apple Color,Gold Nugget,20,0
,,Silver Nugget,24,0
,,Ruby,28,0
,,Emerald,30,0
,,Green Apple,4,0
2bc6 Froggy Chair,The Frog color,Purple Frog,4,0
,,Yellow Frog,8,0
,,Red Frog,0c,0
2bc9 Flower Chair,The Frog color,Purple Frog,4,0
,,Yellow Frog,8,0
,,Red Frog,0c,0
2bca Flower Table,The Flower Color,White,4,0
,,Yellow,8,0
,,Orange,0c,0
,,Violet,10,0
2beb Rock Guitar,The Body Color,Fire red,0,1
,,Sky Blue,0,2
,,Lemon Yellow,0,3
,,Tangerine Orange,0,4
,,Coral Pink,0,5
,,Pure White,0,6
,,Cosmo Black,0,7
,,Clothes,0,8
2bec Electric Guitar,The Body Color,Sky blue,0,1
,,Lemon Yellow,0,2
,,Citrus Orange,0,3
,,Coral Pink,0,4
,,Pure White,0,5
,,Cosmo Black,0,6
,,Natural Beige,0,7
,,Clothes,0,8
2bee Ebony Piano,The Body Color,White,4,0
2c0f Plate Armor,The Armor Color,Gold Nugget,20,0
,,Black,4,0
2c14 Mountain Bike,The Frame,Blue and orange,4,0
,,Purple and yellow,8,0
,,Black and red,0c,0
,,Orange and yellow,10,0
,,Red and white,14,0
,,Yellow and black,18,0
,,Blue and white,1c,0
2c29 Toaster,The Toast Design,Heart,4,0
,,Star,8,0
,,Burned,0c,0
2c2b Clothesline Pole,The Drying Shirt,Worn Out Shirt,0,1
,,Dirty shirt,0,2
,,Tea Stained shirt,0,3
,,Clothes,0,8
2c2c Doghouse,The Roof,Blue roof,4,0
2c2f Surfboard,The Body Design,Futuristic,4,0
,,Wave,8,0
,,Sharp,0c,0
,,Ocean,10,0
2c31 Beach Table,The Parasol,Red and white,0,1
,,Green and yellow,0,2
,,Clothes,0,8
2c33 Life Ring,The Life Ring Design,Blue,4,0
,,Green,8,0
,,Life Preserver 1,0c,0
,,Life Preserver 2,10,0
2c34 Snowboard,The Body Color,Blue,4,0
,,Green,8,0
,,Yellow,0c,0
,,Black,10,0
,,Orange,14,0
,,Pink,18,0
2c3a Toilet,The Coloring,Gold Nugget,20,0
,,Silver Nugget,24,0
,,Black,4,0
2c3b Super Toilet,The Coloring,Gold Nugget,20,0
,,Silver Nugget,24,0
,,Blue,4,0
2c3d Game Shelf,The Body Color,Blue,4,0
,,Beige,8,0
,,Black,0c,0
2c50 Cassette Player,The Tape Deck Color,White,4,0
,,Blue,8,0
2c51 Round Clock,The Body Color,Blue,4,0
,,Yellow,8,0
,,Green,0c,0
,,Purple,10,0
,,Black,14,0
2c56 Oval Clock,The Coloring,Red,4,0
,,Yellow,8,0
,,Blue,0c,0
2c58 Alarm Clock,The Coloring,Red,4,0
,,Yellow,8,0
,,Blue,0c,0
2c59 Common Chair,The Chair Color,Yellow,4,0
,,White,8,0
,,Red,0c,0
,,Blue,10,0
,,Purple,14,0
,,Black,18,0
2c5b Lefty Desk,The Chair Color,Red,4,0
,,Yellow,8,0
,,Green,0c,0
2c5c Righty Desk,The Chair Color,Red,4,0
,,Yellow,8,0
,,Green,0c,0
2c60 Raccoon Figurine,The Raccoon Color,Gold Nugget,20,0
,,Blue,4,0
,,Green,8,0
,,Gray,0c,0
2c6b Kotatsu,The Blanket,Pink blanket,4,0
,,Red blanket,8,0
,,Brown blanket,0c,0
,,Blue Striped blanket,10,0
,,Plaid blanket,14,0
,,Layered blanket,18,0
2c6f Claw Foot Tub,The Bathtub Color,Gold Nugget,20,0
,,Silver Nugget,24,0
,,Pink,4,0
,,Blue,8,0
,,Beige,0c,0
,,Marble,10,0
2c75 Executive Toy,The Color,Gold Nugget,20,0
,,Silver Nugget,24,0
,,Blue,4,0
2c79 Cardboard Box,The Print,Orange Print,4,0
,,Apple Print,8,0
2c80 Throne,The Seat Color,Blue,4,0
,,Purple,8,0
,,Black,0c,0
2c81 Common Bed,The Bedding Color,Blue,4,0
,,Yellow,8,0
,,Green,0c,0
,,Purple,10,0
,,Orange,14,0
2ca3 Piggy Bank,The Pig Type,Gold Nugget,20,0
,,Silver Nugget,24,0
,,Ruby Ore,28,0
,,Sapphire Ore,2c,0
,,Emerald Ore,30,0
,,Amethyst Ore,34,0
,,Black pig,4,0
2cb6 Brown Pot,The Design,Cracked,4,0
,,Marbled,8,0
,,Mesh,0c,0
2cb7 White Pot,The Design,Rough,4,0
,,Marbled,8,0
,,Flower Pattern,0c,0
2cbd Morning Glory,The Flower Color,Red Flower,4,0
,,Purple Flower,8,0
2cca Display Stand,The Pedestal,Black pedestal,4,0
2ccb Glass Display Case,The Pedestal,Black pedestal,4,0
2ccc Flat Display Case,The Pedestal,Black Pedestal,4,0
,The Display Item,Insect,0,1
,,Constellation,0,2
,,Graph,0,3
,,Clothes,0,8
2ccd Tall Display Case,The Pedestal,Black pedestal,4,0
,The Painting,Sunset,0,1
,,Night view,0,2
,,Still Life painting,0,3
,,Prairie,0,4
,,Clothes,0,8
2cce Museum Chair,The Cushion Color,Black,4,0
2ccf Arrow Sign,The Arrow Direction,Left,4,0
2cd0 Fancy Frame,The Painting,Landscape painting,0,1
,,Clothes,0,8
2cd3 Poster Stand,The Poster,Ceramic,0,1
,,Orchestra,0,2
,,Landscape,0,3
,,Ocean,0,4
,,Clothes,0,8
2cd4 Exhibit Partition,The Partition Color,Black Partition,4,0
,The Painting,Sunset,0,1
,,Night View,0,2
,,Still Life Painting,0,3
,,Prairie,0,4
,,Clothes,0,8
2cd8 LED Display,The Screen,Heart,0,1
,,Leaf,0,2
,,Clothes,0,8
2ce3 Pipe Stool,The Pipe,Black,4,0
,The Seat,Red,0,1
,,Green,0,2
,,Orange,0,3
,,Lemon,0,4
,,Lime green,0,5
,,Black,0,6
,,White,0,7
,,Clothes,0,8
2cf1 Director's Chair,The Fabric,Black,0,1
,,Blue,0,2
,,Green,0,3
,,Dark red,0,4
,,Pink,0,5
,,Beige,0,6
,,Orange,0,7
,,Clothes,0,8
2cfb Hot Plate,The Food on the Grill,Pancake,4,0
,,Omelet,8,0
,,Pizza,0c,0
2d0a Small Spotlight,The Light Color,Red,4,0
,,Orange,8,0
,,Green,0c,0
,,Blue,10,0
,,Purple,14,0
2d0b Stained Glass Lamp,The Lamp Shade,Red,4,0
,,Purple,8,0
,,Blue,0c,0
2d10 Small LED Display,The Screen,Heart,0,1
,,Leaf,0,2
,,Clothes,0,8
2d19 Wooden Stool,The Seat,Pink,0,1
,,Blue,0,2
,,Clothes,0,8
2d1b Metal Guitar,The Body Color,Fire red,0,1
,,Sky blue,0,2
,,Lemon yellow,0,3
,,Citrus orange,0,4
,,Coral pink,0,5
,,Pure white,0,6
,,Creamy beige,0,7
,,Clothes,0,8
2d1d Trunk,The Trunk Color,Orange,0,1
,,Deep brown,0,2
,,Clothes,0,8
2d20 Lotus Lamp,The Flower Color,Blue,4,0
,,Green,8,0
,,Yellow,0c,0
2d25 Potty,The Body Color,Pink,4,0
,,Blue,8,0
,,Green,0c,0
,,Orange,10,0
2d2b Aroma Pot,The Pot Color,Green,4,0
,,Pink,8,0
,,Blue,0c,0
2d2c Game Show Stand,The Stand Color,Green,4,0
,,Purple,8,0
,,Blue,0c,0
2d2e Donut Stool,The Pipe,Black,4,0
,The Seat,Dark red,0,1
,,Blue green,0,2
,,Strawberry donut,0,3
,,Lemon,0,4
,,Red And White striped,0,5
,,Chocolate donut,0,6
,,Blue And White striped,0,7
,,Clothes,0,8
2d3a Rice Cooker,The Menu,Red Rice,4,0
,,Pilaf,8,0
,,Paella,0c,0
,,Chicken rice,10,0
,,Eel rice,14,0
,,Chestnut rice,18,0
,,Pea rice,1c,0
2d3c Conveyor Belt Sushi,The Sushi,Blue plate,4,0
,,Yellow plate,8,0
,,Red plate,0c,0
2d3e Whiteboard,The Marker Writing,Soccer tactics,4,0
,,Schedule,8,0
,,Performance Analysis,0c,0
2d40 Whirlpool Bath,The Water,With Flowers,4,0
2d42 Cushion,The Fabric,Apple,0,1
,,Orange,0,2
,,Pear,0,3
,,Peach,0,4
,,Cherry,0,5
,,Clothes,0,8
2d45 Humidifier,The Body Color,Pink,4,0
,,Green,8,0
2d49 Ironing Set,The Blanket,Orange,0,1
,,Black,0,2
,,Red,0,3
,,Chocolate,0,4
,,White,0,5
,,Clothes,0,8
2d4a Rolling Suitcase,The Body Color,Blue,4,0
,,Green,8,0
,,Yellow,0c,0
,,Pink,10,0
2d4e Loom,The Textile Fabric,Blue plaid,0,1
,,Yellow plaid,0,2
,,Clothes,0,8
2d50 Pickle Jar,The Stuff Inside,Pepper,4,0
,,Zucchini,8,0
,,Carrot,0c,0
,,Asparagus,10,0
2d54 Ceramic Hot Pot,The Menu,Sukiyaki,4,0
,,Oden,8,0
,,Hot pot,0c,0
,,Tofu hot pot,10,0
2d55 Stewpot,The Menu,Curry,4,0
,,Consomme,8,0
,,Borscht,0c,0
2d56 Laptop,The Laptop Color,Black,4,0
2d58 Copy Machine,The Printed Material,Material,0,1
,,Clothes,0,8
2d59 Drum Set,The Shell Color,Black,4,0
,,Deep red,8,0
,,White,0c,0
,The Bass Drum Head,Star,0,1
,,White with logo,0,2
,,Black with logo,0,3
,,Clothes,0,8
2d5e Double Neck Guitar,The Body Color,Fire red,0,1
,,Sky blue,0,2
,,Citrus orange,0,3
,,Coral pink,0,4
,,Pure white,0,5
,,Cosmos black,0,6
,,Natural beige,0,7
,,Clothes,0,8
2d63 Soft Serve Lamp,The Ice Cream Color,Chocolate,4,0
,,Chocolate Swirl,8,0
,,Green Tea,0c,0
,,Green Tea swirl,10,0
,,Strawberry,14,0
,,Strawberry Swirl,18,0
2d67 Simple Kettle,The Kettle Color,White,4,0
,,Black,8,0
,,Blue,0c,0
,,Orange,10,0
,,Pink,14,0
2d6c Stained Glass,The Exterior Pattern,Flower,4,0
,,Sharp,8,0
,,Simple,0c,0
,,Nature,10,0
,,Magical,14,0
,,Winter,18,0
,The Interior Pattern,Flower,0,1
,,Nautical,0,2
,,Round,0,3
,,Nature,0,4
,,Bird,0,5
,,Winter,0,6
,,Clothes,0,8
2d72 Mobile,The Hanging Object,Fish,4,0
,,Butterfly,8,0
2d76 Life preserver,The Life Ring Design,Red,4,0
,,Green,8,0
,,Life Preserver 1,0c,0
,,Life Preserver 2,10,0
2d77 Festival Lantern,The Lantern,Red With White Kanji,0,1
,,Red And White Striped,0,2
,,Clothes,0,8
2d9c Bread Box,The Bread,Raisin bread,4,0
,,Cheese bread,8,0
,,Cocoa marble bread,0c,0
2d9d Chaise Lounge,The Leather Color,Green,4,0
,,Brown,8,0
,,Blue,0c,0
,,Yellow,10,0
,,Pink,14,0
2d9e Chocolate Fountain,The Chocolate,White chocolate,4,0
2d9f Box Sofa,The Leather Color,Beige,4,0
,,Red,8,0
,,Navy,0c,0
,,Black,10,0
,,Pink,14,0
,,Blue,18,0
,,White,1c,0
2da0 Box Corner Sofa,The Leather Color,Beige,4,0
,,Red,8,0
,,Navy,0c,0
,,Black,10,0
,,Pink,14,0
,,Blue,18,0
,,White,1c,0
2da1 Lunch Tray,The Menu,B Lunch,4,0
,,C Lunch,8,0
,,D Lunch,0c,0
2da2 Hourglass,The Sand Color,Pink,4,0
,,White,8,0
,,Yellow,0c,0
2da3 Boxed Figurine,The Figure,Robot,4,0
2da6 Capsule Toy Machine,The Body Color,Green,4,0
,,Orange,8,0
,,Pink,0c,0
,,Blue,10,0
,,Purple,14,0
2da7 Bilboquet,The Ball color,Gold Nugget,20,0
,,Silver Nugget,24,0
,,Blue,4,0
2da9 Slide Puzzle,The Puzzle Picture,Star,0,1
,,Clothes,0,8
2e1c Circle Banner,The Flag Design,Square,0,1
,,Stripe,0,2
,,Zigzag,0,3
,,Clothes,0,8
2e37 Matryoshka,The Style,Gentlemen,4,0
2e3d Marshmallow Chair,The Cushion,Pastel Pink,4,0
,,Pastel blue,8,0
,,Cream yellow,0c,0
,,Burnt brown,10,0
2e50 Hologram Machine,The Com Partner,Male,4,0
,,Alien,8,0
2e65 Curling Stone,The Handle,Red,4,0
,,Blue,8,0
2e68 Toy Camera,The Camera Color,Black,4,0
,,Blue,8,0
,,Beige,0c,0
,,Red,10,0
,,Green,14,0
,,Purple,18,0
,,Orange,1c,0
2e6b World Map,The Map Type,Sepia,4,0
2e6d Slalom Gate,The Flag Color,Blue,4,0
2e7c Holiday Stocking,The Sock Color,Aqua,4,0
2e87 Shogi Piece,The Piece Type,Gold Nugget,20,0
,,Gold General,4,0
,,Silver General,8,0
,,Knight,0c,0
,,Spear,10,0
,,Bishop,14,0
,,Rook,18,0
,,Pawn,1c,0
2e94 Lily Record Player,The Flower Color,Yellow,4,0
,,Red,8,0
2e95 Rose Sofa,The Flower Color,White,4,0
,,Yellow,8,0
2e97 Tulip Dresser,The Flower Color,Red,4,0
,,White,8,0
2e98 Violet Screen,The Flower Color,Blue,4,0
,,White,8,0
2e99 Hydrangea Bed,The Flower Color,Pink,4,0
2e9a Azalea Stool,The Flower Color,Red,4,0
2e9b Pansy Table,The Flower Color,White,4,0
,,Red,8,0
2e9c Cosmos Fan,The Flower Color,Red,4,0
,,Yellow,8,0
2e9d Hibiscus Clock,The Flower Color,Yellow,4,0
2ea3 Zero Lamp,The Number Color,Red,4,0
,,Orange,8,0
,,Yellow,0c,0
,,Green,10,0
,,Blue,14,0
,,Purple,18,0
2ea4 One Lamp,The Number Color,Red,4,0
,,Orange,8,0
,,Yellow,0c,0
,,Green,10,0
,,Blue,14,0
,,Purple,18,0
2ea5 Two Lamp,The Number Color,Red,4,0
,,Orange,8,0
,,Yellow,0c,0
,,Green,10,0
,,Blue,14,0
,,Purple,18,0
2ea6 Three Lamp,The Number Color,Red,4,0
,,Orange,8,0
,,Yellow,0c,0
,,Green,10,0
,,Blue,14,0
,,Purple,18,0
2ea7 Four Lamp,The Number Color,Red,4,0
,,Orange,8,0
,,Yellow,0c,0
,,Green,10,0
,,Blue,14,0
,,Purple,18,0
2ea8 Five Lamp,The Number Color,Red,4,0
,,Orange,8,0
,,Yellow,0c,0
,,Green,10,0
,,Blue,14,0
,,Purple,18,0
2ea9 Six Lamp,The Number Color,Red,4,0
,,Orange,8,0
,,Yellow,0c,0
,,Green,10,0
,,Blue,14,0
,,Purple,18,0
2eaa Seven Lamp,The Number Color,Red,4,0
,,Orange,8,0
,,Yellow,0c,0
,,Green,10,0
,,Blue,14,0
,,Purple,18,0
2eab Eight Lamp,The Number Color,Red,4,0
,,Orange,8,0
,,Yellow,0c,0
,,Green,10,0
,,Blue,14,0
,,Purple,18,0
2eac Nine Lamp,The Number Color,Red,4,0
,,Orange,8,0
,,Yellow,0c,0
,,Green,10,0
,,Blue,14,0
,,Purple,18,0
2ec5 Corkboard,The Leaflet,Postcard,0,1
,,Kids' artwork,0,2
,,Clothes,0,8
2ec8 Kokeshi Doll,The Kokeshi Doll Face,Bald Wood Doll,4,0
,,Bob Cut Wood Doll,8,0
,,Comb Over Wood Doll,0c,0
,,Laid Back Wood Doll,10,0
,,Eyeglass Wood Doll,14,0
,,Wide Eyed Wood Doll,18,0
,,Distracted Wood Doll,1c,0
2ed0 Notebook Wardrobe,The Cover Color,Blue,4,0
,,Green,8,0
,,Violet,0c,0
,,Yellow,10,0
2ed1 Eraser Sofa,The Eraser Color,Pink,4,0
,,Blue,8,0
2ed2 Notebook Bed,The Cover Color,Blue,4,0
,,Green,8,0
,,Violet,0c,0
,,Yellow,10,0
2ed4 Sticker Tape Liner,The Body Color,Pink,4,0
,,Yellow,8,0
2ee2 Ring,The Box Color,Red,4,0
,,Sky Blue,8,0
,,White,0c,0
,,Black,10,0
2ee7 Toolbox,The Body Color,Blue,4,0
,,Yellow,8,0
,,Green,0c,0
2eec Train Seat,The Seat Color,Green,4,0
,,Blue,8,0
,,Purple,0c,0
,,Gray,10,0
,,Brown,14,0
2eed Whole Pizza,The Style,Margherita,4,0
,,Seafood,8,0
,,Olive,0c,0
